游戏名	来源	分类	Steam类型	Steam匹配名
博德之门3 豪华版	steam	角色扮演	冒险/角色扮演/策略	博德之门3
极限竞速 地平线5	steam	竞速	动作/冒险/竞速/模拟/体育	极限竞速：地平线 5
暗黑破坏神2 狱火重生 重制炼狱版	name	角色扮演		
卧龙 苍天陨落	steam	动作	动作/冒险/角色扮演	Wo Long: Fallen Dynasty （卧龙：苍天陨落）
侠盗猎车手V 增强版	name	动作		
双点校园	steam	策略	休闲/独立/模拟/策略	双点校园 
消逝的光芒2 重装上阵版	steam	动作	动作/冒险/角色扮演	消逝的光芒2: 重装上阵版
死亡细胞	name	动作		
拳皇15	name-sub	格斗		
群星 银河版	name	策略		
人渣 SCUM	steam	动作	动作/冒险/独立/大型多人在线	人渣
诸天刷宝录 支持者版	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟/策略	诸天刷宝录 - 支持者包 Supporters Pack
神话时代 重述高级版	name	策略		
战锤40K 行商浪人	name	策略		
漫威蜘蛛侠2	name	动作		
雾锁王国	steam	动作	动作/冒险/独立/角色扮演/抢先体验	雾锁王国 (Enshrouded)
英雄立志传 三国志	steam	角色扮演	独立/角色扮演/模拟/策略/抢先体验	英雄立志传：三国志
帝国时代2 重置决定版	name	策略		
罪恶装备 奋战	name-sub	格斗		
消逝的光芒 困兽 失地复苏决定版	steam	动作	动作/冒险/角色扮演	《消逝的光芒：困兽》失地复苏决定版升级包
夜族崛起	steam	动作	动作/冒险/大型多人在线	夜族崛起
AI LIMIT 无限机兵	steam	动作	动作/冒险/独立/角色扮演	AI LIMIT 无限机兵
杀戮尖塔2	name	策略		
幻想生活i 转圈圈的龙和偷取时间的少女	steam	角色扮演	角色扮演	幻想生活ｉ 转圈圈的龙和偷取时间的少女
破晓传说 黎明新程	name	冒险		
电锯甜心 重制(RePOP)	steam	动作	动作	LOLLIPOP CHAINSAW RePOP
城市防线Z	name	策略		
帕格尼物语	steam	策略	模拟/策略	帕格尼物语
最后的加油站	steam	模拟	冒险/休闲/独立/模拟	最后的加油站
维拉克塔尔 Viractal	steam	角色扮演	冒险/休闲/独立/角色扮演/策略	Viractal(维拉克塔尔)
弈战征途	steam	策略	独立/策略/抢先体验	弈战征途
刷屏至死 Death by Scrolling	steam	动作	动作	 刷屏至死
雷霆孤影 VOIN	steam	动作	动作/冒险/独立/角色扮演/抢先体验	雷霆孤影 (VOIN)
潘多拉的玩具盒	steam	策略	独立/模拟/策略	潘多拉的玩具盒
时空迷踪	steam	冒险	冒险/独立	时空迷踪
御炮少女	steam	动作	动作	御炮少女
三国义	steam	角色扮演	独立/角色扮演/策略/抢先体验	三国义
生或死6 最后一战	name-sub	格斗		
极限竞速 地平线6 传奇版	name	竞速		
奇迹时代4 高级版	name	策略		
冰汽时代2	steam	策略	模拟/策略	冰汽时代2
天外世界2 高级版	other	其他		
天外世界 太空人之选	other	其他		
战娘自走棋	steam	策略	休闲/独立/策略	战娘自走棋
挂机升级打怪兽	steam	角色扮演	冒险/休闲/独立/角色扮演/策略	挂机升级打怪兽
团战经理2	name	动作		
末日幸存者	steam	动作	动作/冒险/独立/角色扮演	末日幸存者
森灵旅社	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟/抢先体验	森灵旅社
最后的守护者	steam	角色扮演	冒险/独立/角色扮演/策略	最后的守护者之虚幻的梦
劫后公司	steam	策略	模拟/策略/抢先体验	劫后公司
合金装备3 重制版	name	动作		
三国志8 威力加强重制版	name	策略		
流放者柯南 虚幻5增强版	name	动作		
我独自升级 起立·觉醒	steam	动作	动作/角色扮演	我独自升级：起立·觉醒
潜水员戴夫	steam	角色扮演	冒险/休闲/角色扮演/模拟	潜水员戴夫 DAVE THE DIVER
玄尘遗卷	name	角色扮演		
蜀仙传·挂至飞升	steam	策略	独立/策略	蜀仙传·挂至飞升
饥荒联机版	steam	动作	动作/冒险/独立/角色扮演/模拟/策略	饥荒联机版
符文世界 龙之荒野	steam	动作	动作/冒险/角色扮演/抢先体验	RuneScape: Dragonwilds 符文世界：龙之荒野
阿西, 美女室友竟然&#8230;？2	steam	角色扮演	冒险/角色扮演/模拟	 阿西, 美女室友竟然...？
星辉契约:幻灵庭院	steam	独立	休闲/独立	星辉契约:幻灵庭院
圣眷者	name	角色扮演		
罗密欧是个绝命侠	name	角色扮演		
挂机破坏神	steam	角色扮演	冒险/休闲/独立/角色扮演/策略	挂机破坏神 IdleDiablo
审判之眼 死神的遗言 重制版	other	其他		
千棋百计 Gambonanza	steam	策略	休闲/模拟/策略	千棋百计
街头霸王6 第4年 战士版	name-sub	格斗		
泰坦之旅2	name	角色扮演		
REPLACED	steam	动作	动作/冒险/独立	REPLACED
寂静岭F	name-sub	恐怖		
归零巡礼 亡谍镇魂曲	steam	角色扮演	独立/角色扮演	归零巡礼：亡谍镇魂曲
浣熊推币机	steam	策略	休闲/独立/模拟/策略	浣熊推币机
破晓	steam	动作	动作/角色扮演	破晓传奇
祭祀地宫	steam	角色扮演	独立/角色扮演	祭祀地宫 THYSIASTERY
诺兰德	steam	角色扮演	角色扮演/模拟/策略/抢先体验	诺兰德 Norland
房产达人 重制版合集	name	模拟		
霓虹深渊2 支持者版	steam	动作	动作/冒险/独立/角色扮演	霓虹深渊2 - 支持者包
风启之旅 Windrose	steam	动作	动作/冒险/角色扮演/抢先体验	Windrose: 风启之旅
亡命迪斯科 Dead as Disco	steam	动作	动作/独立/抢先体验	亡命迪斯科
魔族公主打搜撤	steam	角色扮演	独立/角色扮演/模拟/策略	魔族公主打搜撤
精灵地牢 Spirit Dungeon	steam	角色扮演	独立/角色扮演/策略/抢先体验	Spirit Dungeon
伏煞3 夜诊	steam	角色扮演	冒险/休闲/独立/角色扮演	伏煞3 夜诊
云族裔 inZOI	steam	模拟	冒险/休闲/模拟/抢先体验	inZOI (云族裔)
万物皆可蟹 动物进化	steam	动作	动作/独立/模拟/策略	万物皆可蟹：动物进化 Roguelite | Everything is Crab
巴别塔 混乱的幸存者	steam	动作	动作/冒险/独立/角色扮演/策略	巴别塔 ：混乱的幸存者
机战佣兵 VI 境界天火	steam	动作	动作	机战佣兵™VI 境界天火™
墨境	steam	动作	动作/冒险/独立/角色扮演	墨境
明镜江湖行 朔风起	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟/策略	明镜江湖行：朔风起
凤凰点	other	其他		
地狱黑杰克 Black Jacket	steam	策略	冒险/休闲/独立/策略	地狱黑杰克 Black Jacket
异形工厂2 支持者版	name-sub	恐怖	休闲/独立/模拟/策略	异形工厂2支持者版升级
自在城镇	steam	策略	独立/模拟/策略	自在城镇
猎人之道2	name	动作		
色系战记	steam	角色扮演	独立/角色扮演/策略	色系战记
